,species,kind,spot,cpgi1,cpgi2,prdm9,crossover,cpgi1_cond,cpgi2_cond,prdm9_cond,crossover_cond
830,corn,472,coldspots,0.04585667944559127,0.11609907120743033,0.0959015185021377,0.0011627005658476088,0.0475635044064282,0.11738792433272868,0.09717685487634158,0.0010934272870854087
831,corn,472,hotspots,0.03759952816278384,0.09774436090225563,0.09700722394220847,0.001240213936904116,0.037238271932149486,0.09936406995230525,0.09752639042067118,0.00115549686365137
832,corn,473,coldspots,0.0475523444411678,0.11410880141530297,0.10408373875866136,0.0009301604526780869,0.04821150855365474,0.11609225187872506,0.1039430704619692,0.0010934272870854087
833,corn,473,hotspots,0.038705396638159834,0.1013563320064868,0.10275689223057644,0.0010076738237345942,0.0397561622051418,0.10519342872284049,0.09862927367260123,0.0009904258831297458
834,corn,474,coldspots,0.04563550575051607,0.1172047766475011,0.09929234851835471,0.0017052941632431594,0.047174701918092275,0.11984970199533558,0.0957769482034531,0.0012149192078726764
835,corn,474,hotspots,0.03413447360660572,0.0996609169983783,0.09767064720625092,0.0014727540500736377,0.03578054598462762,0.10095389507154214,0.09532062391681109,0.0013205678441729944
836,corn,475,coldspots,0.0475523444411678,0.11735220403951054,0.10179861418251511,0.0008526470816215797,0.04834110938310005,0.11376004146151852,0.0996266915538964,0.0006074596039363382
837,corn,475,hotspots,0.03450309643173105,0.09427981719003391,0.09685979655019902,0.0007751337105650725,0.0353829843625762,0.09485956544780075,0.08870332440523082,0.0006602839220864972
838,corn,476,coldspots,0.046372751400766736,0.1138139466312841,0.10408373875866136,0.0014727540500736377,0.051581130119232765,0.11842446229593159,0.10674288380774614,0.0015793949702344794
839,corn,476,hotspots,0.03678855794750811,0.09678608285419431,0.09685979655019902,0.0009301604526780869,0.0353829843625762,0.09631690514043455,0.09279974791239956,0.0006602839220864972
840,corn,477,coldspots,0.048142140961368325,0.11307680967123691,0.0975969335102462,0.0008526470816215797,0.049766718506998445,0.11298263798911636,0.09939337377508166,0.0006074596039363382
841,corn,477,hotspots,0.03531406664700678,0.09413238979802448,0.09479581306206693,0.0006976203395085652,0.0376358335542009,0.09684684684684684,0.09122420040964235,0.0009904258831297458
842,corn,478,coldspots,0.04283397227956355,0.11580421642341147,0.1021671826625387,0.0010076738237345942,0.040565059616381544,0.1149261466701218,0.10312645823611759,0.0012149192078726764
843,corn,478,hotspots,0.035682689472132115,0.09848149786230281,0.1013563320064868,0.0010851871947911015,0.03578054598462762,0.10227874933757286,0.09642350716874114,0.0013205678441729944
